Denominazione,Posti,Servizi
Aula 1.15,24,Monitor 82' - PC - Tavoletta Grafica - Document Cam - Audioconferenza - Webcam
Aula 1.16,16,Monitor 65' - PC - Tavoletta Grafica - Document Cam - Audioconferenza - Webcam
Aula 1.17,24,Monitor Interattivo 65' - PC - Tavoletta Grafica - Document Cam - Audioconferenza - Webcam
Biblioteca,20,Monitor 82' - PC - Tavoletta Grafica - Document Cam - Audioconferenza - Webcam
Sala del Camino,96,Monitor 82' - Proiettore - PC - Tavoletta Grafica - Document Cam - Videoconferenza - Impianto Diffusione Sonora
Sala Riunioni,10,Monitor 65' - PC - Tavoletta Grafica - Document Cam - Videoconferenza
