Denominazione
Laboratorio di Neuroscienze Cognitive IUSS-Maugeri
Laboratory for Neurolinguistics Computational Linguistics and Theoretical Syntax - NeTS
Laboratori di EUCENTRE
Laboratorio di Neurolinguistica e Pragmatica Sperimentale - NEP
FLexible biOeletronics and Wearable devices lab  - FLOW LAB
